decile,feature,mean_abs_shap
0,revenue,0.14599291218637026
0,dti_n,0.09686729781479468
0,loan_amnt,0.18405254636684915
0,fico_n,0.652225913079597
0,experience_c,0.0
0,emp_length,0.012146324362616073
0,purpose,0.09050524078629607
0,home_ownership_n,0.02991448150819929
0,addr_state,0.014755104512474962
0,zip_code,0.1394049534833855
0,fed_funds_rate,0.08295725563032554
0,us_unemployment,0.05737938077634902
0,vix_close,0.001355821495573781
0,us_10y_treasury,0.00016939281998306691
0,us_real_gdp_yoy,0.0030355357301612134
1,revenue,0.1592769150219497
1,dti_n,0.10634180822594867
1,loan_amnt,0.2011569279415185
1,fico_n,0.37573875065607093
1,experience_c,0.0
1,emp_length,0.011609673083192778
1,purpose,0.0965917502188694
1,home_ownership_n,0.02802898268943819
1,addr_state,0.013802204539963671
1,zip_code,0.13300677585921375
1,fed_funds_rate,0.08562502735291262
1,us_unemployment,0.06348663685568004
1,vix_close,0.0018034338584321616
1,us_10y_treasury,0.00019628629512259826
1,us_real_gdp_yoy,0.002341719580392461
2,revenue,0.1479052178624208
2,dti_n,0.11715323619905016
2,loan_amnt,0.20271988190443693
2,fico_n,0.27601762923790085
2,experience_c,0.0
2,emp_length,0.013381058407692811
2,purpose,0.10176225247575772
2,home_ownership_n,0.026548054220733582
2,addr_state,0.014337771095834579
2,zip_code,0.11871235973081204
2,fed_funds_rate,0.0907879626290536
2,us_unemployment,0.06894618830463374
2,vix_close,0.0018112353987816037
2,us_10y_treasury,0.00023030033755916778
2,us_real_gdp_yoy,0.002638906929584121
3,revenue,0.14291513506312142
3,dti_n,0.12103055781466593
3,loan_amnt,0.2224492625079569
3,fico_n,0.23106013260929215
3,experience_c,0.0
3,emp_length,0.012424879164641077
3,purpose,0.08935322391973904
3,home_ownership_n,0.029293185782084178
3,addr_state,0.013988460013902955
3,zip_code,0.1106670460769258
3,fed_funds_rate,0.09431519036771079
3,us_unemployment,0.06885634683737622
3,vix_close,0.0021186217828573655
3,us_10y_treasury,0.00022747971182195424
3,us_real_gdp_yoy,0.0024617606300676763
4,revenue,0.14915843658740544
4,dti_n,0.125658114877679
4,loan_amnt,0.2110847645565116
4,fico_n,0.2124438375946583
4,experience_c,0.0
4,emp_length,0.011994873424004081
4,purpose,0.09202669132334648
4,home_ownership_n,0.027608841793539684
4,addr_state,0.01439201692566455
4,zip_code,0.10555292019179711
4,fed_funds_rate,0.0990193883020094
4,us_unemployment,0.07260546664933748
4,vix_close,0.0021091855982264996
4,us_10y_treasury,0.00026083682900668526
4,us_real_gdp_yoy,0.0022239149150823996
5,revenue,0.13721152040443196
5,dti_n,0.12714403956646217
5,loan_amnt,0.21432143719059943
5,fico_n,0.22281640106892653
5,experience_c,0.0
5,emp_length,0.013414061934968646
5,purpose,0.09387165696338258
5,home_ownership_n,0.02650035717557024
5,addr_state,0.015253891000852761
5,zip_code,0.10874320847602251
5,fed_funds_rate,0.09692343185413638
5,us_unemployment,0.07738967845181291
5,vix_close,0.0019397515293543696
5,us_10y_treasury,0.0003258767660882232
5,us_real_gdp_yoy,0.002448630913896948
6,revenue,0.1466756332382638
6,dti_n,0.12869063898956073
6,loan_amnt,0.2009366416955029
6,fico_n,0.2070261300260839
6,experience_c,0.0
6,emp_length,0.014753598881200283
6,purpose,0.08215679127267435
6,home_ownership_n,0.0265520308482902
6,addr_state,0.015101478096042498
6,zip_code,0.11254391896435263
6,fed_funds_rate,0.09569536376975407
6,us_unemployment,0.08211433159879393
6,vix_close,0.0019134604466902335
6,us_10y_treasury,0.0003327015384862067
6,us_real_gdp_yoy,0.0021171353261232894
7,revenue,0.14369356211860776
7,dti_n,0.13592615482828796
7,loan_amnt,0.2011287807501233
7,fico_n,0.21940092872178313
7,experience_c,0.0
7,emp_length,0.017291562169770684
7,purpose,0.08729784036358298
7,home_ownership_n,0.02977947129664176
7,addr_state,0.015153023103128715
7,zip_code,0.11067749175107881
7,fed_funds_rate,0.09086720604096868
7,us_unemployment,0.08819572911254044
7,vix_close,0.0020249077026968086
7,us_10y_treasury,0.0004852492506749389
7,us_real_gdp_yoy,0.0023179678408770613
8,revenue,0.1406306304049508
8,dti_n,0.1464008363319259
8,loan_amnt,0.2031722456557012
8,fico_n,0.23800219384088944
8,experience_c,0.0
8,emp_length,0.015123418417817731
8,purpose,0.0782503686922391
8,home_ownership_n,0.030518727259278317
8,addr_state,0.014553094190583697
8,zip_code,0.11466151687817115
8,fed_funds_rate,0.0886285805957226
8,us_unemployment,0.09724688747340196
8,vix_close,0.001752548776375617
8,us_10y_treasury,0.0005231992860371983
8,us_real_gdp_yoy,0.0020881578303165553
9,revenue,0.1429225642594007
9,dti_n,0.17216316212902372
9,loan_amnt,0.2235287976317978
9,fico_n,0.2698582124890239
9,experience_c,0.0
9,emp_length,0.016547643383468768
9,purpose,0.08037012596014297
9,home_ownership_n,0.03124782998323634
9,addr_state,0.014263541003140616
9,zip_code,0.14112661808829982
9,fed_funds_rate,0.07912491210437116
9,us_unemployment,0.11198131582946765
9,vix_close,0.0018636396677461455
9,us_10y_treasury,0.0007934738224603041
9,us_real_gdp_yoy,0.001423938921470919
