month,feature,mean_abs_shap
2014-02,revenue,0.15782650344673127
2014-02,dti_n,0.10855239547637016
2014-02,loan_amnt,0.1951365809447982
2014-02,fico_n,0.25789156197520563
2014-02,experience_c,0.0
2014-02,emp_length,0.013325864751032304
2014-02,purpose,0.08121894935778698
2014-02,home_ownership_n,0.053273458812135424
2014-02,addr_state,0.015598674182462823
2014-02,zip_code,0.12468274250135532
2014-02,fed_funds_rate,0.0010500397628032505
2014-02,us_unemployment,0.02282876749668628
2014-02,vix_close,0.0016721444772803424
2014-02,us_10y_treasury,0.0006525752551125679
2014-02,us_real_gdp_yoy,0.00143848528497894
2014-03,revenue,0.15526478283422526
2014-03,dti_n,0.10616075526064091
2014-03,loan_amnt,0.20096047064822323
2014-03,fico_n,0.2528381794198712
2014-03,experience_c,0.0
2014-03,emp_length,0.012250681683140599
2014-03,purpose,0.07772649504595791
2014-03,home_ownership_n,0.0538885610741462
2014-03,addr_state,0.01514256533461287
2014-03,zip_code,0.1215263588578032
2014-03,fed_funds_rate,0.001086664709063632
2014-03,us_unemployment,0.024800659233775814
2014-03,vix_close,0.0019294485089993553
2014-03,us_10y_treasury,0.0006636778259807203
2014-03,us_real_gdp_yoy,0.0014349636559401321
2014-04,revenue,0.1534140643084884
2014-04,dti_n,0.10567325568504427
2014-04,loan_amnt,0.1991742177734144
2014-04,fico_n,0.24693965583903707
2014-04,experience_c,0.0
2014-04,emp_length,0.0117333865821365
2014-04,purpose,0.07545401322441124
2014-04,home_ownership_n,0.054394390683356185
2014-04,addr_state,0.015618951518574536
2014-04,zip_code,0.12582762823646504
2014-04,fed_funds_rate,0.0010954072623782394
2014-04,us_unemployment,0.02455777969962162
2014-04,vix_close,0.0019265253504931448
2014-04,us_10y_treasury,0.000665137129435634
2014-04,us_real_gdp_yoy,0.0014751153301786654
2014-05,revenue,0.15350357173381207
2014-05,dti_n,0.11933961820690724
2014-05,loan_amnt,0.21519771368815305
2014-05,fico_n,0.2643443984472183
2014-05,experience_c,0.0
2014-05,emp_length,0.012542336985736958
2014-05,purpose,0.07651818639864537
2014-05,home_ownership_n,0.058872244752387955
2014-05,addr_state,0.01591243248008301
2014-05,zip_code,0.12425712775946657
2014-05,fed_funds_rate,0.001107305751646507
2014-05,us_unemployment,0.04886093966890845
2014-05,vix_close,0.0016147228705981436
2014-05,us_10y_treasury,0.0006635544479115828
2014-05,us_real_gdp_yoy,0.0003224183319130047
2014-06,revenue,0.15309024980243482
2014-06,dti_n,0.1155480351218542
2014-06,loan_amnt,0.21824556958317415
2014-06,fico_n,0.2604832476137812
2014-06,experience_c,0.0
2014-06,emp_length,0.011719908452486865
2014-06,purpose,0.078460271846206
2014-06,home_ownership_n,0.05760727137730934
2014-06,addr_state,0.016140554701568315
2014-06,zip_code,0.12780869227385247
2014-06,fed_funds_rate,0.001160821504421567
2014-06,us_unemployment,0.044311137771523526
2014-06,vix_close,0.0021235803602127953
2014-06,us_10y_treasury,0.00038262840752243657
2014-06,us_real_gdp_yoy,0.0003132560923723436
2014-07,revenue,0.1525298555176241
2014-07,dti_n,0.1219804380654175
2014-07,loan_amnt,0.21009441043156535
2014-07,fico_n,0.26315746273281465
2014-07,experience_c,0.0
2014-07,emp_length,0.011807285232304381
2014-07,purpose,0.07444624206907512
2014-07,home_ownership_n,0.05945873336503999
2014-07,addr_state,0.015666008920601462
2014-07,zip_code,0.12560650333432968
2014-07,fed_funds_rate,0.0011870380249928605
2014-07,us_unemployment,0.051107645697836886
2014-07,vix_close,0.001340461834592981
2014-07,us_10y_treasury,0.00034480355186879624
2014-07,us_real_gdp_yoy,0.0003235084569036929
2014-08,revenue,0.15730553208579462
2014-08,dti_n,0.12688479558659366
2014-08,loan_amnt,0.22162249986724325
2014-08,fico_n,0.2659215112869319
2014-08,experience_c,0.0
2014-08,emp_length,0.012421012733634903
2014-08,purpose,0.07433262421568732
2014-08,home_ownership_n,0.057839949302660114
2014-08,addr_state,0.015057541644174543
2014-08,zip_code,0.12809485870402965
2014-08,fed_funds_rate,0.0011067851648364317
2014-08,us_unemployment,0.04931973162829874
2014-08,vix_close,0.0020778606990398993
2014-08,us_10y_treasury,0.00034098148854734306
2014-08,us_real_gdp_yoy,0.0006151200685460426
2014-09,revenue,0.1606742957719952
2014-09,dti_n,0.12705872435693502
2014-09,loan_amnt,0.2125487396469044
2014-09,fico_n,0.277047601478434
2014-09,experience_c,0.0
2014-09,emp_length,0.012973049847228118
2014-09,purpose,0.07828806978095311
2014-09,home_ownership_n,0.058660094314643675
2014-09,addr_state,0.015171783718772673
2014-09,zip_code,0.12235926509238611
2014-09,fed_funds_rate,0.001110753387641234
2014-09,us_unemployment,0.05066665296723252
2014-09,vix_close,0.0014271693845472222
2014-09,us_10y_treasury,0.000380020258480692
2014-09,us_real_gdp_yoy,0.0006138439408873327
2014-10,revenue,0.15466372172235912
2014-10,dti_n,0.131192187120925
2014-10,loan_amnt,0.22189146950333377
2014-10,fico_n,0.25716807870945685
2014-10,experience_c,0.0
2014-10,emp_length,0.012810293349424448
