month,revenue,dti_n,loan_amnt,fico_n,experience_c,emp_length,purpose,home_ownership_n,addr_state,zip_code,fed_funds_rate,us_unemployment,vix_close,us_10y_treasury,us_real_gdp_yoy
2013-02,-2.7566936503444437e-06,0.017554325674941605,2.4985309222983555e-05,-0.010536611332372657,0.0,-0.003430242644856807,0.05334664562159275,-0.42590588519085437,-0.028247106498172192,-0.2638049537353059,-1.6705043884866685e-29,1.0691228086314678e-27,2.1761109407135445e-27,1.3600693379459653e-28,2.67280702157867e-28
2013-03,-1.1032855241340954e-06,0.020240208791225005,2.1139944537783394e-05,-0.01060352331255897,0.0,-0.0046616224946150675,0.07664498470628724,-0.4951712639953053,-0.06956701591795496,-0.6699909354757231,-9.63469910620313e-06,4.8173495525592314e-05,-0.0018016887318873984,0.00011561638924658622,7.178644655483396e-05
2013-04,-1.5067485938366052e-06,0.018996822439835935,2.139335441642612e-05,-0.010266939641115757,0.0,-0.004714338974737368,0.05562406868819359,-0.5203990794305329,-0.054535550238138636,-1.0381761130231428,1.2526120001993441e-05,-0.0017539930985934608,-0.001987503556111846,-0.00021796793993995476,0.00041075185186934817
2013-05,-1.7986838953962767e-06,0.018259846499230226,2.2002916182204372e-05,-0.01013485155031637,0.0,-0.004542926240364061,0.04839910027480832,-0.4797826954192572,-0.03237291537143042,-1.4168777313706675,0.00021653796442462034,-6.751191869009e-05,-0.004514555423269522,-0.023187119545469467,-0.025562876017553266
2013-06,-2.0555380835415393e-06,0.017834673554579763,2.2746926472940733e-05,-0.010008974934292258,0.0,-0.005075274100368926,0.03982797605609593,-0.4761524363049861,-0.02333083212727795,-1.768076865026242,0.04056618526671563,0.04302694109620326,-0.008084401674587136,-0.1353792691538835,0.03311337717772732
2013-07,-2.259568511964562e-06,0.017469439558236367,2.3308043932432753e-05,-0.01000671013384147,0.0,-0.0048870319598014415,0.030943287443179267,-0.45456415214913326,-0.030353930546042428,-2.0199949781070377,0.024457685317331827,-0.015789437398953644,-0.00552610179259471,0.02952086403419089,-0.13399420450512517
2013-08,-2.4112005926404923e-06,0.017204965398445078,2.3539696109406336e-05,-0.009909096404672376,0.0,-0.005315267464455413,0.025117630610004722,-0.4406470551146974,-0.05064628967497477,-2.142192246192753,-0.2107700466879855,-0.006996776337948045,-0.002809621988156396,-0.014298827811439792,-0.11054632623555849
2013-09,-3.6831143296999047e-06,0.015473528569659598,2.63421482896671e-05,-0.009705975683630337,0.0,-0.004934585735116518,-0.009475588715336578,-0.37626021302847323,0.007823377124823432,-2.0249359853550644,-0.2372735668694362,-0.09488815183759922,0.0005398051042921424,-0.030163257854022452,-0.010117628008403387
2013-10,-3.764288024365527e-06,0.015430399836901946,2.6652338177796206e-05,-0.009732292912779595,0.0,-0.005104957849828626,-0.013658797982111061,-0.3645829159552926,0.01609576560279984,-1.9844469368854019,-0.34750333668853073,0.226889423127321,0.004959575533393616,-0.025105061966812656,0.09796293358800573
2013-11,-3.8015524336064263e-06,0.015605791301531953,2.6739320732828753e-05,-0.009809787064911547,0.0,-0.005192070878612707,-0.009722078920906457,-0.3535216812689283,0.022952451070412546,-2.0069746276082783,0.1907308367328379,-0.0921115682561479,-0.006352199937975933,0.021204942103087775,-0.04834856873343604
