year,n_train,n_test,base_rate_train,base_rate_test,auroc,ks,brier,calib_slope,best_iteration
2010,4985,12537,0.18756268806419257,0.14014517029592408,0.6013581243538964,0.16046241749144424,0.12066292457133512,0.024570580485286073,74
2011,13451,21721,0.15404059177756302,0.15178859168546568,0.6164345924418981,0.15949702824618123,0.12607273573018615,0.013650965158654675,7
2012,30038,53367,0.14921099940075905,0.1619727546985965,0.6143273239563816,0.1601977726993109,0.13321875815770928,0.08423021197918183,52
2013,61054,134804,0.1558292658957644,0.15595976380522833,0.6136088268104916,0.16041648607301923,0.12917294663933845,0.0729745058837071,18
2014,149272,223102,0.15722975507797846,0.18449408790598024,0.6262673084775344,0.17937915933826648,0.14658731866390046,0.10891501094209396,43
2015,330171,375543,0.16238858046285107,0.2018463930894731,0.6519207747037501,0.2182610291388738,0.15362762070906763,0.1204961090974221,72
2016,616549,293057,0.1790287552165359,0.23281818895300233,0.6613225131891072,0.22959161768717484,0.16931565268775622,0.13742985274990244,82
2017,1004204,169117,0.1909930651540922,0.23127184138791487,0.6738717045623329,0.25158041913818174,0.16688619465954693,0.13558640367036143,147
